Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,12.200000,14.470000,11.928000,14.380000,14.380000,1825200
2017-06-08,14.350000,14.500000,12.890000,12.900000,12.900000,447800
2017-06-09,13.300000,13.370000,12.320000,12.340000,12.340000,210400
2017-06-12,12.440000,12.940000,11.610000,12.560000,12.560000,127900
2017-06-13,12.970000,14.380000,12.710000,14.030000,14.030000,233700
2017-06-14,14.280000,15.210000,14.260000,14.480000,14.480000,227500
2017-06-15,14.300000,14.780000,13.680000,13.740000,13.740000,108900
2017-06-16,13.820000,13.970000,13.100000,13.740000,13.740000,82500
2017-06-19,13.820000,14.860000,13.500000,14.450000,14.450000,130200
2017-06-20,14.600000,14.700000,13.510000,14.020000,14.020000,94300
2017-06-21,14.150000,15.360000,13.770000,15.050000,15.050000,190800
2017-06-22,15.140000,15.140000,14.130000,14.460000,14.460000,76800
2017-06-23,14.430000,14.890000,13.901000,14.400000,14.400000,95000
2017-06-26,14.400000,14.900000,14.000000,14.400000,14.400000,91700
2017-06-27,14.410000,14.410000,13.650000,13.850000,13.850000,64600
2017-06-28,13.840000,14.070000,12.490000,12.770000,12.770000,143500
2017-06-29,12.800000,13.090000,12.550000,12.770000,12.770000,77800
2017-06-30,12.790000,13.190000,12.720000,12.790000,12.790000,57700
2017-07-03,13.100000,13.910000,13.067000,13.160000,13.160000,85300
2017-07-05,13.390000,13.400000,12.500000,12.820000,12.820000,66600
2017-07-06,12.760000,12.880000,12.500000,12.800000,12.800000,25800
2017-07-07,12.840000,13.250000,12.710000,12.940000,12.940000,52500
2017-07-10,13.140000,13.560000,12.740000,12.920000,12.920000,85300
2017-07-11,12.910000,13.360000,12.910000,13.180000,13.180000,32800
2017-07-12,13.180000,13.300000,12.750000,13.050000,13.050000,62600
2017-07-13,13.040000,14.490000,13.000000,14.140000,14.140000,167600
2017-07-14,14.410000,14.790000,13.990000,14.000000,14.000000,116600
2017-07-17,14.060000,14.070000,13.190000,13.530000,13.530000,75400
2017-07-18,13.380000,13.663000,12.800000,13.200000,13.200000,61400
2017-07-19,13.200000,13.310000,12.940000,13.040000,13.040000,29700
2017-07-20,13.020000,13.200000,12.830000,13.030000,13.030000,53700
2017-07-21,13.020000,13.370000,12.625000,12.800000,12.800000,47700
2017-07-24,12.780000,12.874000,12.570000,12.640000,12.640000,42900
2017-07-25,12.630000,12.655000,12.110000,12.360000,12.360000,71600
2017-07-26,12.350000,12.400000,12.030000,12.350000,12.350000,36300
2017-07-27,12.360000,12.440000,12.010000,12.010000,12.010000,30400
2017-07-28,12.120000,12.874000,11.760000,12.000000,12.000000,56100
2017-07-31,11.960000,12.447000,11.950000,11.965000,11.965000,19700
2017-08-01,12.040000,12.050000,10.250000,10.600000,10.600000,220600
2017-08-02,10.600000,10.887000,9.330000,10.010000,10.010000,90600
2017-08-03,9.990000,10.721000,9.990000,10.530000,10.530000,34500
2017-08-04,10.860000,11.394000,10.770000,11.180000,11.180000,85000
2017-08-07,11.170000,11.170000,10.750000,11.080000,11.080000,22700
2017-08-08,11.110000,11.110000,10.510000,10.750000,10.750000,75500
2017-08-09,12.000000,12.000000,11.093000,11.370000,11.370000,273200
2017-08-10,11.400000,11.500000,11.000000,11.080000,11.080000,86200
2017-08-11,11.130000,11.579000,11.000000,11.500000,11.500000,63600
2017-08-14,11.670000,12.260000,11.650000,12.170000,12.170000,134200
2017-08-15,12.200000,12.700000,11.760000,12.490000,12.490000,78100
2017-08-16,12.500000,12.777000,11.880000,12.110000,12.110000,81800
2017-08-17,12.020000,12.341000,11.500000,11.730000,11.730000,31000
2017-08-18,11.680000,12.097000,11.290000,11.590000,11.590000,23100
2017-08-21,11.600000,12.249000,11.470000,12.120000,12.120000,27900
2017-08-22,12.150000,12.290000,11.692000,11.770000,11.770000,26900
2017-08-23,11.650000,11.920000,11.500000,11.700000,11.700000,17800
2017-08-24,12.000000,12.140000,11.750000,12.000000,12.000000,35200
2017-08-25,12.100000,12.150000,11.810000,12.000000,12.000000,20800
2017-08-28,12.190000,12.900000,12.120000,12.350000,12.350000,63800
2017-08-29,12.280000,12.570000,11.700000,12.110000,12.110000,72500
2017-08-30,12.080000,12.099000,11.510000,11.850000,11.850000,39800
2017-08-31,11.850000,11.858000,11.360000,11.500000,11.500000,32600
2017-09-01,11.500000,11.750000,11.400000,11.480000,11.480000,8100
2017-09-05,11.420000,11.840000,11.170000,11.310000,11.310000,31400
2017-09-06,11.350000,11.350000,10.670000,10.940000,10.940000,88600
2017-09-07,10.900000,11.150000,10.900000,11.130000,11.130000,35000
2017-09-08,11.100000,11.150000,10.510000,10.600000,10.600000,66500
2017-09-11,10.590000,11.150000,10.590000,10.860000,10.860000,36800
2017-09-12,10.850000,11.150000,10.790000,11.100000,11.100000,24400
2017-09-13,11.100000,11.150000,11.000000,11.080000,11.080000,29800
2017-09-14,11.150000,11.170000,11.040000,11.170000,11.170000,23700
2017-09-15,11.140000,11.150000,10.870000,10.870000,10.870000,103800
2017-09-18,10.860000,11.000000,10.750000,10.880000,10.880000,32600
2017-09-19,10.920000,12.000000,10.820000,11.840000,11.840000,166300
2017-09-20,11.610000,11.930000,11.511000,11.830000,11.830000,30700
2017-09-21,11.800000,11.800000,11.510000,11.560000,11.560000,19400
